Freq [GHz],dB20(S11diff) [],ang_deg(S11diff) [deg],dB20(S21diff) [],ang_deg(S21diff) [deg],dB20(S21diff) norm2
25.6,-20.8032603229548,147.657077269718,-29.3038284316923,-27.597137930938,-1.5677839285111
25.7,-21.2135757112788,146.890035482962,-29.2806400265189,-26.5364074750339,-1.5445955233377
25.8,-21.627123633773,146.966614454334,-29.4675399005788,-26.6912131352101,-1.7314953973976
25.9,-21.9705494562432,147.74040904589,-29.3436720862481,-27.3847772755268,-1.6076275830669
26,-22.2997172923441,147.490678506493,-29.3710824424773,-27.0586262452897,-1.6350379392961
26.1,-22.6855188693732,146.669031455651,-29.223754730795,-27.5689773581867,-1.4877102276138
26.2,-23.2533541946689,147.281516604594,-29.2585814372509,-26.9142357987789,-1.5225369340697
26.3,-23.7213255178842,149.009056025445,-29.3537926737195,-28.1577309519873,-1.6177481705383
26.4,-23.9751222641371,150.034301677508,-29.1462504093903,-28.1447070637725,-1.4102059062091
26.5,-24.4416858726662,149.715203107661,-29.2471764286099,-28.0765741457945,-1.5111319254287
26.6,-25.1040613275457,150.902840228187,-29.3936485985859,-28.2073464712971,-1.6576040954047
26.7,-25.6629064705596,154.277041791848,-29.3642139083648,-28.1889842322176,-1.6281694051836
26.8,-25.9325745526187,157.057863935921,-29.3292743514705,-27.7198223003861,-1.5932298482893
26.9,-26.4174835575664,157.942974838109,-29.479257828451,-27.8393152100472,-1.7432133252698
27,-27.0435219554077,160.810036255434,-29.5690421034943,-28.0075531971756,-1.8329976003131
27.1,-27.5404899317458,165.467796117812,-29.5772434628371,-28.8460669609335,-1.8411989596559
27.2,-27.7383185060853,170.275587874744,-29.4395641729329,-28.8489400556699,-1.7035196697517
27.3,-27.9357718492172,173.791990511887,-29.612059699118,-28.572369411868,-1.8760151959368
27.4,-28.3659384260899,177.310809503495,-29.5859396055072,-28.9774526159969,-1.849895102326
27.5,-28.4861692518625,-176.147637277541,-29.5128280218467,-28.4802939265103,-1.7767835186655
27.6,-28.384630618559,-169.850716408917,-29.6481617456495,-29.2999224083518,-1.9121172424683
27.7,-28.19144810133,-165.772880268298,-29.7073879680989,-28.9361509524444,-1.9713434649177
27.8,-28.1692133010563,-161.536205657564,-29.802320796099,-29.1451182626758,-2.0662762929178
27.9,-27.9615846489937,-155.276624310962,-29.599551479866,-29.2609878028538,-1.8635069766848
28,-27.5251268631465,-151.700466124361,-29.6972326966852,-28.0870387515012,-1.961188193504
28.1,-27.0663154589789,-149.032915181235,-29.8953884709759,-29.6368552960066,-2.1593439677947
28.2,-26.7647879044812,-145.719267087859,-29.7345983583301,-29.1240306649859,-1.9985538551489
28.3,-26.3753244936408,-142.695565626233,-29.9224637792051,-28.3948873059571,-2.1864192760239
28.4,-25.7842869633715,-140.466207002771,-29.9664893816671,-29.7235173159259,-2.2304448784859
28.5,-25.3790210345037,-138.694033265314,-29.9206344813409,-28.9666998888602,-2.1845899781597
28.6,-25.0855109992417,-137.485603450632,-29.9687155184551,-29.1982250079583,-2.2326710152739
28.7,-24.6433865700854,-135.581559602338,-29.9932225491887,-29.0523421127357,-2.2571780460075
28.8,-24.2196056169801,-134.723538877538,-29.9685413954706,-28.806606312678,-2.2324968922894
28.9,-23.8725331739997,-134.640711576574,-29.9960956661662,-29.5040516520558,-2.260051162985
29,-23.6049892666232,-134.195231986999,-29.8811422116282,-28.9428544895432,-2.145097708447
29.1,-23.2751055739435,-133.59413219141,-30.0551031795283,-29.0321483783815,-2.3190586763471
29.2,-22.8593976775405,-133.394243586438,-29.9398482625624,-29.1415994878526,-2.2038037593812
29.3,-22.6068054907828,-133.864005973227,-30.0277021619126,-27.8984772542043,-2.2916576587314
